MARC tag	Field name	Field repeatability	Field note	Subfield delimiter	Subfield name	Subfield repeatability	Subfield note
337	MEDIA TYPE	R	.	0	Authority record control number or standard number	R	.
337	MEDIA TYPE	R	.	1	Real World Object URI	R	.
337	MEDIA TYPE	R	.	2	Source	NR	.
337	MEDIA TYPE	R	.	3	Materials specified	NR	.
337	MEDIA TYPE	R	.	6	Linkage	NR	.
337	MEDIA TYPE	R	.	8	Field link and sequence number	R	.
338	CARRIER TYPE	R	.	a	Carrier type term	R	.
338	CARRIER TYPE	R	.	b	Carrier type code	R	.
338	CARRIER TYPE	R	.	0	Authority record control number or standard number	R	.
338	CARRIER TYPE	R	.	1		.	.
338	CARRIER TYPE	R	.	2	Source	NR	.
338	CARRIER TYPE	R	.	3	Materials specified	NR	.
338	CARRIER TYPE	R	.	6	Linkage	NR	.
338	CARRIER TYPE	R	.	8	Field link and sequence number	R	.
340	PHYSICAL MEDIUM	R	.	a	Material base and configuration	R	.
340	PHYSICAL MEDIUM	R	.	b	Dimensions	R	.
340	PHYSICAL MEDIUM	R	.	c	Materials applied to surface	R	.
340	PHYSICAL MEDIUM	R	.	d	Information recording technique	R	.
340	PHYSICAL MEDIUM	R	.	e	Support	R	.
340	PHYSICAL MEDIUM	R	.	f	Production rate/ratio	R	.
340	PHYSICAL MEDIUM	R	.	g	Color content	R	.
340	PHYSICAL MEDIUM	R	.	h	Location within medium	R	.
340	PHYSICAL MEDIUM	R	.	i	Technical specifications of medium	R	.
340	PHYSICAL MEDIUM	R	.	j	Generation	R	.
340	PHYSICAL MEDIUM	R	.	k	Layout	R	.
340	PHYSICAL MEDIUM	R	.	m	Book format	R	.
340	PHYSICAL MEDIUM	R	.	n	Font size	R	.
340	PHYSICAL MEDIUM	R	.	o	Polarity	R	.
340	PHYSICAL MEDIUM	R	.	0	Authority record control number or standard number	R	.
340	PHYSICAL MEDIUM	R	.	1		.	.
340	PHYSICAL MEDIUM	R	.	2	Source	NR	.
340	PHYSICAL MEDIUM	R	.	3	Materials specified	NR	.
340	PHYSICAL MEDIUM	R	.	6	Linkage	NR	.
340	PHYSICAL MEDIUM	R	.	8	Field link and sequence number	R	.
342	GEOSPATIAL REFERENCE DATA	R	.	a	Name	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	b	Coordinate or distance units	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	c	Latitude resolution	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	d	Longitude resolution	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	e	Standard parallel or oblique line latitude	R	.
342	GEOSPATIAL REFERENCE DATA	R	.	f	Oblique line longitude	R	.
342	GEOSPATIAL REFERENCE DATA	R	.	g	Longitude of central meridian or projection center	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	h	Latitude of projection origin or projection center	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	i	False easting	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	j	False northing	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	k	Scale factor	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	l	Height of perspective point above surface	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	m	Azimuthal angle	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	n	Azimuth measure point longitude or straight vertical longitude from pole	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	o	Landsat number and path number	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	p	Zone identifier	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	q	Ellipsoid name	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	r	Semi-major axis	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	s	Denominator of flattening ratio	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	t	Vertical resolution	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	u	Vertical encoding method	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	v	Local planar, local, or other projection or grid description	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	w	Local planar or local georeference information	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	2	Reference method used	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	6	Linkage	NR	.
342	GEOSPATIAL REFERENCE DATA	R	.	8	Field link and sequence number	R	.
343	PLANAR COORDINATE DATA	R	.	a	Planar coordinate encoding method	NR	.
343	PLANAR COORDINATE DATA	R	.	b	Planar distance units	NR	.
343	PLANAR COORDINATE DATA	R	.	c	Abscissa resolution	NR	.
343	PLANAR COORDINATE DATA	R	.	d	Ordinate resolution	NR	.
343	PLANAR COORDINATE DATA	R	.	e	Distance resolution	NR	.
343	PLANAR COORDINATE DATA	R	.	f	Bearing resolution	NR	.
343	PLANAR COORDINATE DATA	R	.	g	Bearing units	NR	.
343	PLANAR COORDINATE DATA	R	.	h	Bearing reference direction	NR	.
343	PLANAR COORDINATE DATA	R	.	i	Bearing reference meridian	NR	.
343	PLANAR COORDINATE DATA	R	.	6	Linkage	NR	.
343	PLANAR COORDINATE DATA	R	.	8	Field link and sequence number	R	.
344	SOUND CHARACTERISTICS	R	.	a	Type of recording	R	.
344	SOUND CHARACTERISTICS	R	.	b	Recording medium	R	.
344	SOUND CHARACTERISTICS	R	.	c	Playing speed	R	.
344	SOUND CHARACTERISTICS	R	.	d	Groove characteristic	R	.
344	SOUND CHARACTERISTICS	R	.	e	Track configuration	R	.
344	SOUND CHARACTERISTICS	R	.	f	Tape configuration	R	.
344	SOUND CHARACTERISTICS	R	.	g	Configuration of playback channels	R	.
344	SOUND CHARACTERISTICS	R	.	h	Special playback characteristics	R	.
344	SOUND CHARACTERISTICS	R	.	0	Authority record control number or standard number	R	.
344	SOUND CHARACTERISTICS	R	.	1	Real World Object URI	R	.
344	SOUND CHARACTERISTICS	R	.	2	Source	NR	.
344	SOUND CHARACTERISTICS	R	.	3	Materials specified	NR	.
344	SOUND CHARACTERISTICS	R	.	6	Linkage	NR	.
344	SOUND CHARACTERISTICS	R	.	8	Field link and sequence number	R	.
345	PROJECTION CHARACTERISTICS OF MOVING IMAGE	R	.	a	Presentation format	R	.
345	PROJECTION CHARACTERISTICS OF MOVING IMAGE	R	.	b	Projection speed	R	.
345	PROJECTION CHARACTERISTICS OF MOVING IMAGE	R	.	0	Authority record control number or standard number	R	.
345	PROJECTION CHARACTERISTICS OF MOVING IMAGE	R	.	1	Real World Object URI	R	.
345	PROJECTION CHARACTERISTICS OF MOVING IMAGE	R	.	2	Source	NR	.
345	PROJECTION CHARACTERISTICS OF MOVING IMAGE	R	.	3	Materials specified	NR	.
345	PROJECTION CHARACTERISTICS OF MOVING IMAGE	R	.	6	Linkage	NR	.
345	PROJECTION CHARACTERISTICS OF MOVING IMAGE	R	.	8	Field link and sequence number	R	.
346	VIDEO CHARACTERISTICS	R	.	a	Video format	R	.
346	VIDEO CHARACTERISTICS	R	.	b	Broadcast standard	R	.
346	VIDEO CHARACTERISTICS	R	.	0	Authority record control number or standard number	R	.
346	VIDEO CHARACTERISTICS	R	.	1	Real World Object URI	R	.
346	VIDEO CHARACTERISTICS	R	.	2	Source	NR	.
346	VIDEO CHARACTERISTICS	R	.	3	Materials specified	NR	.
346	VIDEO CHARACTERISTICS	R	.	6	Linkage	NR	.
346	VIDEO CHARACTERISTICS	R	.	8	Field link and sequence number	R	.
347	DIGITAL FILE CHARACTERISTICS	R	.	a	File type	R	.
347	DIGITAL FILE CHARACTERISTICS	R	.	b	Encoding format	R	.
347	DIGITAL FILE CHARACTERISTICS	R	.	c	File size	R	.
347	DIGITAL FILE CHARACTERISTICS	R	.	d	Resolution	R	.
347	DIGITAL FILE CHARACTERISTICS	R	.	e	Regional encoding	R	.
347	DIGITAL FILE CHARACTERISTICS	R	.	f	Encoded bitrate	R	.
347	DIGITAL FILE CHARACTERISTICS	R	.	0	Authority record control number or standard number	R	.
347	DIGITAL FILE CHARACTERISTICS	R	.	1	Real World Object URI	R	.
347	DIGITAL FILE CHARACTERISTICS	R	.	2	Source	NR	.
347	DIGITAL FILE CHARACTERISTICS	R	.	3	Materials specified	NR	.
347	DIGITAL FILE CHARACTERISTICS	R	.	6	Linkage	NR	.
347	DIGITAL FILE CHARACTERISTICS	R	.	8	Field link and sequence number	R	.
348	FORMAT OF NOTATED MUSIC	R	.	a	Format of notated music term	R	.
348	FORMAT OF NOTATED MUSIC	R	.	b	Format of notated music code	R	.
348	FORMAT OF NOTATED MUSIC	R	.	0	Authority record control number or standard number	R	.
348	FORMAT OF NOTATED MUSIC	R	.	1	Real World Object URI	R	.
348	FORMAT OF NOTATED MUSIC	R	.	2	Source of term	NR	.
348	FORMAT OF NOTATED MUSIC	R	.	3	Materials specified	NR	.
348	FORMAT OF NOTATED MUSIC	R	.	6	Linkage	NR	.
348	FORMAT OF NOTATED MUSIC	R	.	8	Field link and sequence number	R	.
350	PRICE	NR	[OBSOLETE]	a	Price	R	.
350	PRICE	NR	[OBSOLETE]	b	Form of issue	R	.
350	PRICE	NR	[OBSOLETE]	6	Linkage	NR	.
351	ORGANIZATION AND ARRANGEMENT OF MATERIALS	R	.	a	Organization	R	.
351	ORGANIZATION AND ARRANGEMENT OF MATERIALS	R	.	b	Arrangement	R	.
351	ORGANIZATION AND ARRANGEMENT OF MATERIALS	R	.	c	Hierarchical level	NR	.
351	ORGANIZATION AND ARRANGEMENT OF MATERIALS	R	.	3	Materials specified	NR	.
351	ORGANIZATION AND ARRANGEMENT OF MATERIALS	R	.	6	Linkage	NR	.
351	ORGANIZATION AND ARRANGEMENT OF MATERIALS	R	.	8	Field link and sequence number	R	.
352	DIGITAL GRAPHIC REPRESENTATION	R	.	a	Direct reference method	NR	.
352	DIGITAL GRAPHIC REPRESENTATION	R	.	b	Object type	R	.
352	DIGITAL GRAPHIC REPRESENTATION	R	.	c	Object count	R	.
352	DIGITAL GRAPHIC REPRESENTATION	R	.	d	Row count	NR	.
352	DIGITAL GRAPHIC REPRESENTATION	R	.	e	Column count	NR	.
352	DIGITAL GRAPHIC REPRESENTATION	R	.	f	Vertical count	NR	.
352	DIGITAL GRAPHIC REPRESENTATION	R	.	g	VPF topology level	NR	.
352	DIGITAL GRAPHIC REPRESENTATION	R	.	i	Indirect reference description	NR	.
352	DIGITAL GRAPHIC REPRESENTATION	R	.	q	Format of the digital image	R	.
352	DIGITAL GRAPHIC REPRESENTATION	R	.	6	Linkage	NR	.
352	DIGITAL GRAPHIC REPRESENTATION	R	.	8	Field link and sequence number	R	.
355	SECURITY CLASSIFICATION CONTROL	R	.	a	Security classification	NR	.
355	SECURITY CLASSIFICATION CONTROL	R	.	b	Handling instructions	R	.
355	SECURITY CLASSIFICATION CONTROL	R	.	c	External dissemination information	R	.
355	SECURITY CLASSIFICATION CONTROL	R	.	d	Downgrading or declassification event	NR	.
355	SECURITY CLASSIFICATION CONTROL	R	.	e	Classification system	NR	.
355	SECURITY CLASSIFICATION CONTROL	R	.	f	Country of origin code	NR	.
355	SECURITY CLASSIFICATION CONTROL	R	.	g	Downgrading date	NR	.
355	SECURITY CLASSIFICATION CONTROL	R	.	h	Declassification date	NR	.
355	SECURITY CLASSIFICATION CONTROL	R	.	j	Authorization	R	.
355	SECURITY CLASSIFICATION CONTROL	R	.	6	Linkage	NR	.
355	SECURITY CLASSIFICATION CONTROL	R	.	8	Field link and sequence number	R	.
357	ORIGINATOR DISSEMINATION CONTROL	NR	.	a	Originator control term	NR	.
357	ORIGINATOR DISSEMINATION CONTROL	NR	.	b	Originating agency	R	.
357	ORIGINATOR DISSEMINATION CONTROL	NR	.	c	Authorized recipients of material	R	.
357	ORIGINATOR DISSEMINATION CONTROL	NR	.	g	Other restrictions	R	.
357	ORIGINATOR DISSEMINATION CONTROL	NR	.	6	Linkage	NR	.
357	ORIGINATOR DISSEMINATION CONTROL	NR	.	8	Field link and sequence number	R	.
359	RENTAL PRICE	.	[OBSOLETE]	a	Rental price	NR	.
362	DATES OF PUBLICATION AND/OR SEQUENTIAL DESIGNATION	R	.	a	Dates of publication and/or sequential designation	NR	.
362	DATES OF PUBLICATION AND/OR SEQUENTIAL DESIGNATION	R	.	z	Source of information	NR	.
362	DATES OF PUBLICATION AND/OR SEQUENTIAL DESIGNATION	R	.	6	Linkage	NR	.
362	DATES OF PUBLICATION AND/OR SEQUENTIAL DESIGNATION	R	.	8	Field link and sequence number	R	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	a	First level of enumeration	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	b	Second level of enumeration	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	c	Third level of enumeration	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	d	Fourth level of enumeration	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	e	Fifth level of enumeration	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	f	Sixth level of enumeration	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	g	Alternative numbering scheme, first level of enumeration	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	h	Alternative numbering scheme, second level of enumeration	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	i	First level of chronology	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	j	Second level of chronology	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	k	Third level of chronology	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	l	Fourth level of chronology	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	m	Alternative numbering scheme, chronology	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	u	First level textual designation	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	v	First level of chronology, issuance	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	x	Nonpublic note	R	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	z	Public note	R	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	6	Linkage	NR	.
363	NORMALIZED DATE AND SEQUENTIAL DESIGNATION	R	.	8	Field link and sequence number	NR	.
365	TRADE PRICE	R	.	a	Price type code	NR	.
365	TRADE PRICE	R	.	b	Price amount	NR	.
365	TRADE PRICE	R	.	c	Currency code	NR	.
365	TRADE PRICE	R	.	d	Unit of pricing	NR	.
365	TRADE PRICE	R	.	e	Price note	NR	.
365	TRADE PRICE	R	.	f	Price effective from	NR	.
365	TRADE PRICE	R	.	g	Price effective until	NR	.
365	TRADE PRICE	R	.	h	Tax rate 1	NR	.
365	TRADE PRICE	R	.	i	Tax rate 2	NR	.
365	TRADE PRICE	R	.	j	ISO country code	NR	.
365	TRADE PRICE	R	.	k	MARC country code	NR	.
365	TRADE PRICE	R	.	m	Identification of pricing entity	NR	.
365	TRADE PRICE	R	.	2	Source of price type code	NR	.
365	TRADE PRICE	R	.	6	Linkage	NR	.
365	TRADE PRICE	R	.	8	Field link and sequence number	R	.
366	TRADE AVAILABILITY INFORMATION	R	.	a	Publishers' compressed title identification	NR	.
366	TRADE AVAILABILITY INFORMATION	R	.	b	Detailed date of publication	NR	.
366	TRADE AVAILABILITY INFORMATION	R	.	c	Availability status code	NR	.
366	TRADE AVAILABILITY INFORMATION	R	.	d	Expected next availability date	NR	.
366	TRADE AVAILABILITY INFORMATION	R	.	e	Note	NR	.
366	TRADE AVAILABILITY INFORMATION	R	.	f	Publishers' discount category	NR	.
366	TRADE AVAILABILITY INFORMATION	R	.	g	Date made out of print	NR	.
366	TRADE AVAILABILITY INFORMATION	R	.	j	ISO country code	NR	.
366	TRADE AVAILABILITY INFORMATION	R	.	k	MARC country code	NR	.
366	TRADE AVAILABILITY INFORMATION	R	.	m	Identification of agency	NR	.
366	TRADE AVAILABILITY INFORMATION	R	.	2	Source of availability status code	NR	.
366	TRADE AVAILABILITY INFORMATION	R	.	6	Linkage	NR	.
366	TRADE AVAILABILITY INFORMATION	R	.	8	Field link and sequence number	R	.
370	ASSOCIATED PLACE	R	.	c	Associated country	R	.
370	ASSOCIATED PLACE	R	.	f	Other associated place	R	.
370	ASSOCIATED PLACE	R	.	g	Place of origin of work or expression	R	.
370	ASSOCIATED PLACE	R	.	i		.	.
370	ASSOCIATED PLACE	R	.	s	Start period	NR	.
370	ASSOCIATED PLACE	R	.	t	End period	NR	.
370	ASSOCIATED PLACE	R	.	u	Uniform Resource Identifier	R	.
370	ASSOCIATED PLACE	R	.	v	Source of information	R	.
370	ASSOCIATED PLACE	R	.	0	Authority record control number or standard number	R	.
370	ASSOCIATED PLACE	R	.	1	Real World Object URI	R	.
370	ASSOCIATED PLACE	R	.	2	Source of term	NR	.
370	ASSOCIATED PLACE	R	.	3	Materials specified	NR	.
370	ASSOCIATED PLACE	R	.	4	Relationship	R	.
370	ASSOCIATED PLACE	R	.	6	Linkage	NR	.
370	ASSOCIATED PLACE	R	.	8	Field link and sequence number	R	.
377	ASSOCIATED LANGUAGE	R	.	a	Language code	R	.
377	ASSOCIATED LANGUAGE	R	.	l	Language term	R	.
377	ASSOCIATED LANGUAGE	R	.	0	Authority record control number or standard number	R	.
377	ASSOCIATED LANGUAGE	R	.	1	Real World Object URI	R	.
377	ASSOCIATED LANGUAGE	R	.	2	Source	NR	.
377	ASSOCIATED LANGUAGE	R	.	3	Materials specified	NR	.
377	ASSOCIATED LANGUAGE	R	.	6	Linkage	NR	.
377	ASSOCIATED LANGUAGE	R	.	8	Field link and sequence number	R	.
380	FORM OF WORK	R	.	a	Form of work	R	.
380	FORM OF WORK	R	.	0	Authority record control number or standard number	R	.
380	FORM OF WORK	R	.	1	Real World Object URI	R	.
380	FORM OF WORK	R	.	2	Source of term	NR	.
380	FORM OF WORK	R	.	3	Materials specified	NR	.
380	FORM OF WORK	R	.	6	Linkage	NR	.
380	FORM OF WORK	R	.	8	Field link and sequence number	R	.
381	OTHER DISTINGUISHING CHARACTERISTICS OF WORK OR EXPRESSION	R	.	a	Other distinguishing characteristic	R	.
381	OTHER DISTINGUISHING CHARACTERISTICS OF WORK OR EXPRESSION	R	.	u	Uniform Resource Identifier	R	.
381	OTHER DISTINGUISHING CHARACTERISTICS OF WORK OR EXPRESSION	R	.	v	Source of information	R	.
381	OTHER DISTINGUISHING CHARACTERISTICS OF WORK OR EXPRESSION	R	.	0	Authority record control number or standard number	R	.
381	OTHER DISTINGUISHING CHARACTERISTICS OF WORK OR EXPRESSION	R	.	1	Real World Object URI	R	.
381	OTHER DISTINGUISHING CHARACTERISTICS OF WORK OR EXPRESSION	R	.	2	Source of term	NR	.
381	OTHER DISTINGUISHING CHARACTERISTICS OF WORK OR EXPRESSION	R	.	3	Materials specified	NR	.
381	OTHER DISTINGUISHING CHARACTERISTICS OF WORK OR EXPRESSION	R	.	6	Linkage	NR	.
381	OTHER DISTINGUISHING CHARACTERISTICS OF WORK OR EXPRESSION	R	.	8	Field link and sequence number	R	.
382	MEDIUM OF PERFORMANCE	R	.	a	Medium of performance	R	.
382	MEDIUM OF PERFORMANCE	R	.	b	Soloist	R	.
382	MEDIUM OF PERFORMANCE	R	.	d	Doubling instrument	R	.
382	MEDIUM OF PERFORMANCE	R	.	e	Number of ensembles of the same type	R	.
382	MEDIUM OF PERFORMANCE	R	.	n	Number of performers of the same medium	R	.
382	MEDIUM OF PERFORMANCE	R	.	p	Alternative medium of performance	R	.
382	MEDIUM OF PERFORMANCE	R	.	r	Total number of individuals performing alongside ensembles	NR	.
382	MEDIUM OF PERFORMANCE	R	.	s	Total number of performers	NR	.
382	MEDIUM OF PERFORMANCE	R	.	t	Total number of ensembles	NR	.
382	MEDIUM OF PERFORMANCE	R	.	v	Note	R	.
382	MEDIUM OF PERFORMANCE	R	.	0	Authority record control number or standard number	R	.
382	MEDIUM OF PERFORMANCE	R	.	1	Real World Object URI	R	.
382	MEDIUM OF PERFORMANCE	R	.	2	Source of term	NR	.
382	MEDIUM OF PERFORMANCE	R	.	3	Materials specified	NR	.
382	MEDIUM OF PERFORMANCE	R	.	6	Linkage	NR	.
382	MEDIUM OF PERFORMANCE	R	.	8	Field link and sequence number	R	.
383	NUMERIC DESIGNATION OF MUSICAL WORK	R	.	a	Serial number	R	.
383	NUMERIC DESIGNATION OF MUSICAL WORK	R	.	b	Opus number	R	.
383	NUMERIC DESIGNATION OF MUSICAL WORK	R	.	c	Thematic index number	R	.
383	NUMERIC DESIGNATION OF MUSICAL WORK	R	.	d	Thematic index code	NR	.
383	NUMERIC DESIGNATION OF MUSICAL WORK	R	.	e	Publisher associated with opus number	NR	.
383	NUMERIC DESIGNATION OF MUSICAL WORK	R	.	2	Source	NR	.
383	NUMERIC DESIGNATION OF MUSICAL WORK	R	.	3	Materials secified	NR	.
383	NUMERIC DESIGNATION OF MUSICAL WORK	R	.	6	Linkage	NR	.
383	NUMERIC DESIGNATION OF MUSICAL WORK	R	.	8	Field link and sequence number	R	.
384	KEY	R	.	a	Key	NR	.
384	KEY	R	.	3	Materials specified	NR	.
384	KEY	R	.	6	Linkage	NR	.
384	KEY	R	.	8	Field link and sequence number	R	.
385	AUDIENCE CHARACTERISTICS	R	.	a	Audience term	R	.
385	AUDIENCE CHARACTERISTICS	R	.	b	Audience code	R	.
385	AUDIENCE CHARACTERISTICS	R	.	m	Demographic group term	NR	.
385	AUDIENCE CHARACTERISTICS	R	.	n	Demographic group code	NR	.
385	AUDIENCE CHARACTERISTICS	R	.	0	Authority record control number or standard number	R	.
385	AUDIENCE CHARACTERISTICS	R	.	1	Real World Object URI	R	.
385	AUDIENCE CHARACTERISTICS	R	.	2	Source	NR	.
385	AUDIENCE CHARACTERISTICS	R	.	3	Materials specified	NR	.
385	AUDIENCE CHARACTERISTICS	R	.	6	Linkage	NR	.
385	AUDIENCE CHARACTERISTICS	R	.	8	Field link and sequence number	R	.
386	CREATOR/CONTRIBUTOR CHARACTERISTICS	R	.	a	Creator/contributor term	R	.
386	CREATOR/CONTRIBUTOR CHARACTERISTICS	R	.	b	Creator/contributor code	R	.
386	CREATOR/CONTRIBUTOR CHARACTERISTICS	R	.	i	Relationship information	R	.
386	CREATOR/CONTRIBUTOR CHARACTERISTICS	R	.	m	Demographic group term	NR	.
386	CREATOR/CONTRIBUTOR CHARACTERISTICS	R	.	n	Demographic group code	NR	.
386	CREATOR/CONTRIBUTOR CHARACTERISTICS	R	.	0	Authority record control number or standard number	R	.
386	CREATOR/CONTRIBUTOR CHARACTERISTICS	R	.	1	Real World Object URI	R	.
386	CREATOR/CONTRIBUTOR CHARACTERISTICS	R	.	2	Source	NR	.
386	CREATOR/CONTRIBUTOR CHARACTERISTICS	R	.	3	Materials specified	NR	.
386	CREATOR/CONTRIBUTOR CHARACTERISTICS	R	.	4	Relationship	R	.
386	CREATOR/CONTRIBUTOR CHARACTERISTICS	R	.	6	Linkage	NR	.
386	CREATOR/CONTRIBUTOR CHARACTERISTICS	R	.	8	Field link and sequence number	R	.
388	TIME PERIOD OF CREATION	R	.	a	Time period of creation term	R	.
388	TIME PERIOD OF CREATION	R	.	0	Authority record control number or standard number	R	.
388	TIME PERIOD OF CREATION	R	.	1	Real World Object URI	R	.
388	TIME PERIOD OF CREATION	R	.	2	Source of term	NR	.
388	TIME PERIOD OF CREATION	R	.	3	Materials specified	NR	.
388	TIME PERIOD OF CREATION	R	.	6	Linkage	NR	.
388	TIME PERIOD OF CREATION	R	.	8	Field link and sequence number	R	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	a	Personal name	NR	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	b	Numeration	NR	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	c	Titles and other words associated with a name	R	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	d	Dates associated with a name	NR	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	e	Relator term	R	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	f	Date of a work	NR	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	g	Miscellaneous information	R	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	k	Form subheading	R	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	l	Language of a work	NR	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	n	Number of part/section of a work	R	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	p	Name of part/section of a work	R	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	q	Fuller form of name	NR	[OBSOLETE]
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	t	Title of a work	NR	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	u	Affiliation	NR	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	v	Volume number/sequential designation 	NR	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	x	International Standard Serial Number 	NR	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	4	Relationship	R	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	6	Linkage	NR	.
400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME 	R	[US-LOCAL]	8	Field link and sequence number 	R	.
410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME	R	[US-LOCAL]	a	Corporate name or jurisdiction name as entry element	NR	.
410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME	R	[US-LOCAL]	b	Subordinate unit	R	.
410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME	R	[US-LOCAL]	c	Location of meeting	NR	.
410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME	R	[US-LOCAL]	d	Date of meeting or treaty signing	R	.
410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME	R	[US-LOCAL]	e	Relator term	R	.
410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME	R	[US-LOCAL]	f	Date of a work	NR	.
410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME	R	[US-LOCAL]	g	Miscellaneous information	R	.
410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME	R	[US-LOCAL]	k	Form subheading	R	.
410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME	R	[US-LOCAL]	l	Language of a work	NR	.
410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME	R	[US-LOCAL]	n	Number of part/section/meeting	R	.
410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME	R	[US-LOCAL]	p	Name of part/section of a work	R	.
410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME	R	[US-LOCAL]	t	Title of a work	NR	.
410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME	R	[US-LOCAL]	u	Affiliation	NR	.
410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME	R	[US-LOCAL]	v	Volume number/sequential designation 	NR	.
410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME	R	[US-LOCAL]	x	International Standard Serial Number	NR	.
