argot_field,has parent,is parent?,vernacular treatment,vernacular status,type,argot-marc processor/pattern,category,provisional,responsibility,obligation,searchable in,retain order,facet,Brief display,Full display,note on display,definition,rationale,relevance importance (1=most imp),endeca equivalent,notes,implementation details,documentation,JIRA issue,issue ct,mapping ct,done in mta?,tests?,in schema?
owner,x,n,na - no vernacular expected,{na},simple field,.,meta,n,local,{1},not indexed,x,x,x,x,x,Code of institution responsible for submitting record to and maintaining record in TRLN Discovery,x,x,x,x,"Lower case institution code: duke, nccu, ncsu, or unc; If not provided in submitted Argot documents, Spofford will insert the appropriate code based on the spofford-client configuration of the ingester.",needed,x,0,0,.,.,y
physical_description,x,y,parent field -- see child elements,{na},parent field,labeled_indexed_value,material description,n,shared,"{0,n}",not indexed,y,x,x,Other details > (physical description cluster) > Description:,x,"Physical description statement describing the item(s) described by the record, including its extent, dimensions, and such other physical details as a description of any accompanying materials and unit type and size. ",Assist in identification/selection of resources in catalog,x,Material,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc,https://trlnmain.atlassian.net/browse/TD-468,0,0,n,y,y
physical_description[label],physical_description,n,pass through/store vernacular -- no special processing,test/verification needed,field element,labeled_indexed_value,material description,n,shared,"{0,1}",not indexed,x,x,x,Other details > (physical description cluster) > Description:,x,Contextualizing label for data in the field,x,x,x,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc,https://trlnmain.atlassian.net/browse/TD-468,0,1,n,y,y
physical_description[value],physical_description,n,vernacular processing needed,define new element - map/doc needed,field element,labeled_indexed_value,material description,n,shared,{1},keyword,x,x,x,Other details > (physical description cluster) > Description:,x,The physical description statement value,x,x,Material,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc,https://trlnmain.atlassian.net/browse/TD-468,0,1,n,y,y
physical_description_details,x,y,parent field -- see child elements,{na},parent field,labeled_indexed_value,material description,n,shared,"{0,n}",not indexed,y,x,x,Other details > (physical description cluster) > Description:,x,Material/physical description details,Assist in identification/selection of resources in catalog,x,Sound Characteristics;;;Projection Characteristics of Moving Image;;;Video Characteristics;;;Digital File Characteristics,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc,https://trlnmain.atlassian.net/browse/TD-479,0,0,n,y,y
physical_description_details[label],physical_description_details,n,na - no vernacular expected,{na},field element,labeled_indexed_value,material description,n,shared,"{0,1}",not indexed,x,x,x,Other details > (physical description cluster) > Description:,x,Contextualizing label for data in the field,x,x,x,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc,https://trlnmain.atlassian.net/browse/TD-479,0,65,n,y,y
physical_description_details[value],physical_description_details,n,na - no vernacular expected,{na},field element,labeled_indexed_value,material description,n,shared,{1},keyword,x,x,x,Other details > (physical description cluster) > Description:,x,The physical description details statement value,x,x,Sound Characteristics;;;Projection Characteristics of Moving Image;;;Video Characteristics;;;Digital File Characteristics,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc,https://trlnmain.atlassian.net/browse/TD-479,0,6,n,y,y
physical_media,x,n,na - no vernacular expected,{na},simple field,.,format,n,shared,"{1,n)",facet:Physical Media,x,Physical Media,?,?,Need to work out how this is best displayed,Physical media type,.,x,Format,Hierarchical list,.,needed,https://trlnmain.atlassian.net/browse/TD-435,0,4,.,.,.
publisher,x,y,vernacular processing needed,convert to structured field w/lang element - map/doc needed,parent field,index_only_value,"publication, etc",n,shared,"{0,n}",not indexed,x,x,x,x,x,"Indexed publisher, distributor, etc. name",x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,https://trlnmain.atlassian.net/browse/TD-155,0,0,y,.,.
publisher[lang],publisher,n,na - supports vernacular processing,{na},field element,index_only_value,"publication, etc",n,shared,"{0,1}",not indexed,x,x,x,x,x,Script/language code for field value,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,https://trlnmain.atlassian.net/browse/TD-733,0,0,.,.,.
publisher[value],publisher,n,vernacular processing needed,{na},field element,index_only_value,"publication, etc",n,shared,{1},publisher;;;keyword,x,x,x,x,x,The publisher name,x,.,Publisher;;;Producer;;;Distributor;;;Manufacturer,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,https://trlnmain.atlassian.net/browse/TD-155,0,2,.,.,.
record_data_source,x,n,na - no vernacular expected,{na},simple field,.,backend,n,shared,"{1,n}",facet:Data Source,x,Data Source,x,x,Facet would be accessible in Admin/Backend interface only.,Data source(s) for record,Invaluable for doing data work/troubleshooting. Supported in Endeca: http://trlnr610c.trln.org:8888/endeca_jspref/controller.jsp?sid=13704A964F65&enePort=8070&Ne=206582&eneHost=trlnr610c.trln.org&N=0,x,Source,x,"Values: ILSMARC, DC, EAD, ICE, Shared:#{Name/code of shared record set};;;Multiple values required because a final record in the system may mainly come from ILSMARC, but also be Shared, or have data merged in from EAD or ICE. ",needed,.,0,1,.,.,.
related_work,x,y,parent field -- see child elements,{na},parent field,work_entry,related works,n,shared,"{0,n}",not indexed,y,x,x,x,x,related works not handled in a field such as Table of Contents,Navigation/exploration of catalog,high,Constituent Unit Linking;;;Other Titles,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/related_work.adoc,https://trlnmain.atlassian.net/browse/TD-442,0,0,n,n,.
related_work[author],related_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,related works,n,shared,"{0,1}",author;;;work;;;keyword,x,x,x,Related items,Hyperlinked. Clicking this segment does an author search,Author of the related work,x,high,Other Authors,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/related_work.adoc,https://trlnmain.atlassian.net/browse/TD-442,0,14,.,.,.
related_work[details],related_work,n,pass through/store vernacular -- no special processing,test/verification needed,field element,work_entry,related works,n,shared,"{0,1}",not indexed,x,x,x,Related items,x,"Other identifying or descriptive details of related work, suitable for display but not indexed",x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/related_work.adoc,https://trlnmain.atlassian.net/browse/TD-442,0,11,.,.,.
related_work[display],related_work,n,na - no vernacular expected,{na},field element,work_entry,related works,n,shared,"{0,1}",not indexed,x,x,x,x,x,Whether to display content of field; Boolean; defaults to true,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/related_work.adoc,https://trlnmain.atlassian.net/browse/TD-442,0,11,.,.,.
related_work[isbn],related_work,n,na - no vernacular expected,{na},field element,work_entry,related works,n,shared,"{0,n}",ids;;;keyword,x,x,x,Related items,"When element is present, prepend "". ISBN: "" in display",ISSN of related work,x,high,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/related_work.adoc,https://trlnmain.atlassian.net/browse/TD-442,0,11,.,.,.
related_work[issn],related_work,n,na - no vernacular expected,{na},field element,work_entry,related works,n,shared,"{0,1}",ids;;;keyword,x,x,x,Related items,"When element is present, prepend "". ISSN: "" in display",ISSN of related work,x,high,Linking_ISSN,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/related_work.adoc,https://trlnmain.atlassian.net/browse/TD-442,0,15,.,.,.
related_work[label],related_work,n,pass through/store vernacular -- no special processing,test/verification needed,field element,work_entry,related works,n,shared,"{0,1}",not indexed,x,x,x,Related items,x,Contextualizing label specific to the data in the field,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/related_work.adoc,https://trlnmain.atlassian.net/browse/TD-442,0,19,.,.,.
related_work[lang],related_work,n,na - supports vernacular processing,{na},field element,work_entry,related works,n,shared,"{0,1}",not indexed,x,x,x,x,x,Script/language code for field,Apply appropriate Solr language parsers,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/vernacular_scripts.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,0,n,n,.
related_work[other_ids],related_work,n,na - no vernacular expected,{na},field element,work_entry,related works,n,shared,"{0,n}",ids;;;keyword,x,x,x,x,x,"IDs of related works, other than ISBN or ISSN",x,high,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/related_work.adoc,https://trlnmain.atlassian.net/browse/TD-442,0,11,.,.,.
related_work[title],related_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,related works,n,shared,{1},title;;;work;;;keyword,x,x,x,Related items,Hyperlinks on different segments of the title portion conduct queries on work_citation index,"Title of related work, respecting nonfiling indicators",x,high,Other Titles,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/related_work.adoc,https://trlnmain.atlassian.net/browse/TD-442,0,27,.,.,.
related_work[title_nonfiling],related_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,related works,n,shared,"{0,1}",title;;;keyword,x,x,x,x,x,"Title of related work, ignoring nonfiling indicators",x,high,Other Titles,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/related_work.adoc,https://trlnmain.atlassian.net/browse/TD-442,0,4,.,.,.
related_work[title_variation],related_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,related works,n,shared,"{0,1}",title;;;keyword,x,x,x,Related items,"In display, this value should have prefix: ""Some editions have title: ""","Variant form of title of the related work, if recorded in field. Would most often be the title proper (from title page) when uniform title was recorded in main title element of field.",x,high,Other Titles,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/related_work.adoc,https://trlnmain.atlassian.net/browse/TD-442,0,12,.,.,.
related_work[type],related_work,n,na - no vernacular expected,{na},field element,work_entry,related works,n,shared,{1},not indexed,x,x,x,x,x,Type of work_entry pattern,Used in post-Argot processing,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/related_work.adoc,https://trlnmain.atlassian.net/browse/TD-442,0,16,.,.,.
resource_type,x,n,na - no vernacular expected,{na},simple field,.,format,n,shared,"{1,n)",facet:Resource Type,x,Resource Type,?,?,Need to work out how this is best displayed,"General content type, as opposed to physical media",.,x,Format,Flat (non-hierarchical list),.,needed,https://trlnmain.atlassian.net/browse/TD-434,1,4,.,.,.
rollup_id,x,n,na - no vernacular expected,{na},simple field,.,ids,n,local,"{0,1}",not indexed,x,x,x,x,x,"Namespaced ID used for rolling up records in ""Expand to TRLN"" mode. ",Avoid showing duplicate records when multiple institutions have the same title,x,Rollup,.,.,needed,.,2,2,.,.,.
series_statement,x,y,parent field -- see child elements,{na},parent field,series_statement,series,n,shared,"{0,n}",not indexed,y,x,x,Other details,x,Series statement as transcribed from the item described by the record,Refers to this volume only; not used for collocating by series,x,Series;;;Series title index,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_statement.adoc,https://trlnmain.atlassian.net/browse/TD-546,0,0,n,y,.
series_statement[issn],series_statement,n,na - no vernacular expected,{na},field element,series_statement,series,n,shared,"{0,n}",ids;;;keyword,x,x,x,x,x,ISSNs with any qualifying info stripped,For indexing,.,Series ISSN,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_statement.adoc,https://trlnmain.atlassian.net/browse/TD-546,0,2,n,y,.
series_statement[label],series_statement,n,pass through/store vernacular -- no special processing,test/verification needed,field element,series_statement,series,n,shared,"{0,1}",not indexed,x,x,x,Other details,x,Contextualizing label specific to the data in the field,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_statement.adoc,https://trlnmain.atlassian.net/browse/TD-546,0,1,n,y,.
series_statement[lang],series_statement,n,na - supports vernacular processing,{na},field element,work_entry,series,n,shared,"{0,1}",not indexed,x,x,x,x,x,Script/language code for field,Apply appropriate Solr language parsers,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_statement.adoc,https://trlnmain.atlassian.net/browse/TD-735,0,0,n,n,.
series_statement[other_ids],series_statement,n,na - no vernacular expected,{na},field element,series_statement,series,n,shared,"{0,n}",ids;;;keyword,x,x,x,x,x,Bibliographic record control numbers recorded in series field,x,.,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_statement.adoc,https://trlnmain.atlassian.net/browse/TD-546,0,1,n,y,.
series_statement[value],series_statement,n,vernacular processing needed,define new element - map/doc needed,field element,series_statement,series,n,shared,{1},series;;;keyword,x,x,x,Other details,x,"Full series statement as recorded, except for bibliographic record control numbers",x,.,Series;;;Series title index,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_statement.adoc,https://trlnmain.atlassian.net/browse/TD-546,0,2,n,y,.
series_work,x,y,parent field -- see child elements,{na},parent field,work_entry,related works,n,shared,"{0,n}",not indexed,y,x,x,x,x,series works not handled in a field such as Table of Contents,Navigation/exploration of catalog,high,Constituent Unit Linking;;;Other Titles,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_work.adoc,https://trlnmain.atlassian.net/browse/TD-464,0,0,n,y,.
series_work[author],series_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,related works,n,shared,"{0,1}",author;;;work;;;keyword,x,x,x,related items,Hyperlinked. Clicking this segment does an author search,Author of the series work,x,high,Series,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_work.adoc,https://trlnmain.atlassian.net/browse/TD-464,0,5,n,y,.
series_work[details],series_work,n,pass through/store vernacular -- no special processing,test/verification needed,field element,work_entry,related works,n,shared,"{0,1}",not indexed,x,x,x,related items,x,"Other identifying or descriptive details of series work, suitable for display but not indexed",x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_work.adoc,https://trlnmain.atlassian.net/browse/TD-464,0,3,n,y,.
series_work[display],series_work,n,na - no vernacular expected,{na},field element,work_entry,related works,n,shared,"{0,1}",not indexed,x,x,x,x,x,Whether to display content of field; Boolean; defaults to true,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_work.adoc,https://trlnmain.atlassian.net/browse/TD-464,0,2,n,y,.
series_work[issn],series_work,n,na - no vernacular expected,{na},field element,work_entry,related works,n,shared,"{0,1}",ids;;;keyword,x,x,x,related items,"When element is present, prepend "". ISSN: "" in display",ISSN of series work,x,high,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_work.adoc,https://trlnmain.atlassian.net/browse/TD-464,0,7,n,y,.
series_work[label],series_work,n,pass through/store vernacular -- no special processing,test/verification needed,field element,work_entry,related works,n,shared,"{0,1}",not indexed,x,x,x,related items,x,Contextualizing label specific to the data in the field,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_work.adoc,https://trlnmain.atlassian.net/browse/TD-464,0,6,n,y,.
series_work[lang],series_work,n,na - supports vernacular processing,{na},field element,work_entry,related works,n,shared,"{0,1}",not indexed,x,x,x,x,x,Script/language code for field,Apply appropriate Solr language parsers,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/vernacular_scripts.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,0,n,n,.
series_work[other_ids],series_work,n,na - no vernacular expected,{na},field element,work_entry,related works,n,shared,"{0,n}",ids;;;keyword,x,x,x,x,x,"IDs of series works, other than ISBN or ISSN",x,high,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_work.adoc,https://trlnmain.atlassian.net/browse/TD-464,0,2,n,y,.
series_work[title],series_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,related works,n,shared,{1},title;;;work;;;keyword,x,x,x,related items,Hyperlinks on different segments of the title portion conduct queries on work_citation index,"Title of series work, respecting nonfiling indicators",x,high,Series;;;Series title index;;;Main Series Linking;;;Subseries Linking,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_work.adoc,https://trlnmain.atlassian.net/browse/TD-464,0,9,n,y,.
series_work[title_nonfiling],series_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,related works,n,shared,"{0,1}",title;;;keyword,x,x,x,x,x,"Title of series work, ignoring nonfiling indicators",x,high,Series;;;Series title index;;;Main Series Linking;;;Subseries Linking,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_work.adoc,https://trlnmain.atlassian.net/browse/TD-464,0,2,n,y,.
series_work[title_variation],series_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,related works,n,shared,"{0,1}",title;;;keyword,x,x,x,related items,"In display, this value should have prefix: ""Some editions have title: ""","Variant form of title of the series work, if recorded in field. Would most often be the title proper (from title page) when uniform title was recorded in main title element of field.",x,high,Series;;;Series title index;;;Main Series Linking;;;Subseries Linking,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_work.adoc,https://trlnmain.atlassian.net/browse/TD-464,0,3,n,y,.
series_work[type],series_work,n,na - no vernacular expected,{na},field element,work_entry,related works,n,shared,{1},not indexed,x,x,x,x,x,Type of work_entry pattern,Used in post-Argot processing,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/series_work.adoc,https://trlnmain.atlassian.net/browse/TD-464,0,6,n,y,.
sersol_number,x,n,na - no vernacular expected,{na},simple field,.,ids,n,local,"{0,1}",ids;;;keyword,x,x,x,Other details > (ids cluster) > SerialsSolutions record number:,x,SerialsSolutions record ID number. Begins with ssj or ssib,Rollup for SerialsSolutions titles.,.,x,.,.,needed,.,0,1,.,.,.
statement_of_responsibility,x,y,vernacular processing needed,convert to structured field w/lang element - map/doc needed,parent field,index_and_display_value,names,n,shared,"{0,1}",not indexed,x,x,no label,x,x,"List of authors and other contributors, typically transcribed from title page. In legacy records, may contain other data from the 245 field that has not been subfielded by one of the other subfield codes.",.,.,x,.,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-statement_of_responsibility-code,.,0,4,.,.,.
statement_of_responsibility[lang],statement_of_responsibility,n,na - no vernacular expected,.,field element,index_and_display_value,names,n,shared,"{0,1}",not indexed,x,x,no label,x,x,Language code for non-Roman script data in field,.,.,x,.,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-statement_of_responsibility-code,https://trlnmain.atlassian.net/browse/TD-737,0,0,.,.,.
statement_of_responsibility[value],statement_of_responsibility,n,vernacular processing needed,.,field element,index_and_display_value,names,n,shared,"{0,1}",author;;;keyword,x,x,no label,Summary record > no label,x,The value of the statement of responsibility,.,.,Statement of Responsibility,.,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-statement_of_responsibility-code,.,0,0,.,.,.
subject_chronological,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,.,subject,n,shared,"{0,n}",facet:Time Period,x,Time period,x,x,x,Chronological/time period terms from LCSH,Explode subject genre headings into segments to allow filtering/narrowing by individual chronological terms,x,Subject: Time period,"field_name doesn't include name of a vocabulary because we've never treated chronological terms from different vocabularies separately;;;TD-347 specifies ""limited to LCSH,"" though Endeca data model allowed terms from other vocabularies to be mapped here",https://github.com/trln/data-documentation/blob/master/argot/processing_rules_and_procedures.md#all-fields-that-become-facet-values,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/subject_and_genre.adoc,.,1,10,.,.,.
subject_genre,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,.,subject,n,shared,"{0,n}",facet:Genre,x,Genre,x,x,x,Genre/form terms,Explode subject and genre headings into segments to allow filtering/narrowing by individual genre/form terms,x,Subject: Genre,field_name doesn't include name of a vocabulary because we've never treated genre terms from different vocabularies separately. I'll be making a case to POs that it's necessary to include terms from several non-LCSH vocabularies in this facet to make it at all useful. ,https://github.com/trln/data-documentation/blob/master/argot/processing_rules_and_procedures.md#all-fields-that-become-facet-values,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/subject_and_genre.adoc,.,2,20,.,.,.
subject_geographic,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,.,subject,n,shared,"{0,n}",facet:Region,x,Region,x,x,x,Geographic/region terms from LCSH,Explode subject genre headings into segments to allow filtering/narrowing by individual geographic terms,x,Subject: Region,"field_name doesn't include name of a vocabulary because we've never treated chronological terms from different vocabularies separately;;;TD-347 specifies ""limited to LCSH,"" though Endeca data model allowed terms from other vocabularies to be mapped here",https://github.com/trln/data-documentation/blob/master/argot/processing_rules_and_procedures.md#all-fields-that-become-facet-values,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/subject_and_genre.adoc,.,1,13,.,.,.
subject_headings,x,y,parent field -- see child elements,{na},parent field,headings,subject,n,shared,"{0,n}",not indexed,y,x,x,x,x,Pre-coordinate subject headings,"Display in record (in order); adaptive hyperlinking for browsing/exploring; feed into autosuggest and/or ""related titles"" features",x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/subject_and_genre.adoc,.,0,0,.,.,y
subject_headings[lang],subject_headings,n,na - supports vernacular processing,{na},field element,headings,subject,n,shared,"{0,1}",not indexed,x,x,x,x,x,Script/language code for field,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/subject_and_genre.adoc,https://trlnmain.atlassian.net/browse/TD-715,0,0,.,.,y
subject_headings[value],subject_headings,n,vernacular processing needed,partially mapped/doced,field element,headings,subject,n,shared,{1},subject;;;keyword,x,x,x,This item is about,x,Value of the heading,x,.,Subjects;;;Subject Headings,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/subject_and_genre.adoc,.,0,12,.,.,y
subject_topical,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,.,subject,n,shared,"{0,n}",facet:Subject,x,Subject,x,x,x,Topical terms from Library of Congress Subject Headings (LCSH),Explode subject headings into segments to allow filtering/narrowing by individual topical terms,x,Subject: Topic,"field_name includes ""lcsh"" because in Endeca, we also have a Medical Subject headings topic facet -- erring on the side of being more specific earlier on, based on Luke's advice that it'd be easier to generalize things later on than to tease out lost specifics;;;TD-347 specifies ""limited to LCSH,"" though Endeca data model allowed terms from other vocabularies to be mapped here",https://github.com/trln/data-documentation/blob/master/argot/processing_rules_and_procedures.md#all-fields-that-become-facet-values,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/subject_and_genre.adoc,.,0,20,.,.,.
this_work,x,y,parent field -- see child elements,{na},parent field,work_entry,this work/uniform title,n,shared,"{0,n}",not indexed,y,x,x,x,x,related works not handled in a field such as Table of Contents,Navigation/exploration of catalog,high,Collective Uniform Title;;;Journal Uniform Title;;;Main Uniform Title;;;Uniform Title,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/this_work.adoc,https://trlnmain.atlassian.net/browse/TD-392,0,0,n,y,.
this_work[author],this_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,this work/uniform title,n,shared,"{0,1}",author;;;work;;;keyword,x,x,x,Related items > More like this,Hyperlinked. Clicking this segment does an author search,Author of the related work,x,high,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/this_work.adoc,https://trlnmain.atlassian.net/browse/TD-392,0,3,.,y,.
this_work[lang],this_work,n,na - supports vernacular processing,{na},field element,work_entry,this work/uniform title,n,shared,"{0,1}",not indexed,x,x,x,x,x,Script/language code for field,Apply appropriate Solr language parsers,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/vernacular_scripts.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,0,n,y,.
this_work[title],this_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,this work/uniform title,n,shared,{1},title;;;work;;;keyword,x,x,x,Related items > More like this,Hyperlinks on different segments of the title portion conduct queries on work_citation index,"Title of related work, respecting nonfiling indicators",x,high,Collective Uniform Title;;;Journal Uniform Title;;;Main Uniform Title;;;Uniform Title,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/this_work.adoc,https://trlnmain.atlassian.net/browse/TD-392,0,7,.,y,.
this_work[title_nonfiling],this_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,this work/uniform title,n,shared,"{0,1}",title;;;keyword,x,x,x,x,x,"Title of related work, ignoring nonfiling indicators",x,high,Collective Uniform Title;;;Journal Uniform Title;;;Main Uniform Title;;;Uniform Title,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/this_work.adoc,https://trlnmain.atlassian.net/browse/TD-392,0,2,.,y,.
this_work[title_variation],this_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,this work/uniform title,n,shared,"{0,1}",title;;;keyword,x,x,x,Related items > More like this,"In display, this value should have prefix: ""Some editions have title: ""","Variant form of title of the related work, if recorded in field. Would most often be the title proper (from title page) when uniform title was recorded in main title element of field.",x,high,Collective Uniform Title;;;Journal Uniform Title;;;Main Uniform Title;;;Uniform Title,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/this_work.adoc,https://trlnmain.atlassian.net/browse/TD-392,0,1,.,y,.
this_work[type],this_work,n,na - no vernacular expected,{na},field element,work_entry,this work/uniform title,n,shared,{1},not indexed,x,x,x,x,x,Type of work_entry pattern,Used in post-Argot processing,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/this_work.adoc,https://trlnmain.atlassian.net/browse/TD-392,0,5,.,y,.
title_main,x,y,parent field -- see child elements,{na},parent field,.,title,n,shared,"{1,n}",not indexed,y,x,x,x,x,Main title of the item described by record,x,x,Main Title,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-title_main-code,https://trlnmain.atlassian.net/browse/TD-582,0,0,n,y,y
title_main[lang],title_main,n,na - supports vernacular processing,{na},field element,.,title,n,shared,"{0,1}",not indexed,x,x,x,x,x,Script/language code for field,Apply appropriate Solr language parsers,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/vernacular_scripts.adoc,https://trlnmain.atlassian.net/browse/TD-561,0,0,n,y,y
title_main[value],title_main,n,vernacular processing needed,done,field element,.,title,n,shared,{1},title;;;keyword,x,x,no label,Summary record > no label,x,"Main title, including any initial articles",.,highest,Main Title,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-title_main-code,https://trlnmain.atlassian.net/browse/TD-582,0,1,n,y,y
title_sort,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,.,title,n,shared,{1},sort,x,x,x,x,x,Main title with non-filing characters removed from beginning,Used for sorting results by title; mitigate weird search results when people omit initial articles from their queries. ,highest,Title Sort,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-title_sort-code,https://trlnmain.atlassian.net/browse/TD-582,0,1,.,y,y
title_variant,x,y,parent field -- see child elements,{na},parent field,title_variant,title,n,shared,"{0,n}",not indexed,y,x,x,Other details > Variant title: or Former title: depending on [type] value,x,"Variant titles, as well as former titles that are not cataloged on a separate record. (See https://github.com/trln/data-documentation/blob/master/argot/spec_docs/title_history.adoc for discussion)",.,x,Journal Title Abbreviation;;;Title Index;;;Journal Varying Title;;;Varying Titles,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_title_variant.adoc,https://trlnmain.atlassian.net/browse/TD-475,0,0,n,n,.
